Save Set Details

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Backup Type: all
Level: all
Save Time: from earliest available to 12/4/08 4:53:46 PM

Save Set Name,Save Time,Save Set ID,Level,Duration,Save Set Size,Number of Files
/arcbk/,12/30/07 2:32:26 PM,3916905201, ,28,1608026492,38
/arcbk/,12/30/07 3:02:25 PM,3900129790, ,28,1608030160,38
/arcbk/,12/30/07 3:33:13 PM,3883354426, ,36,2143951904,39
/arcbk/,12/30/07 4:02:26 PM,3866578966, ,27,1608023700,38
/arcbk/,12/30/07 4:31:33 PM,3849803506, ,20,1072109804,37
/arcbk/,12/30/07 5:01:29 PM,3833028089, ,20,1072104228,37
/arcbk/,12/30/07 8:31:18 PM,3749154605, ,17,872501520,37
/arcbk/,12/31/07 6:01:40 AM,3463976170, ,19,1072112896,37
/arcbk/,12/31/07 6:32:13 AM,3447200797, ,28,1608026420,38
/arcbk/,12/31/07 7:01:35 AM,3430425341, ,20,1072112524,37
/arcbk/,12/31/07 7:32:23 AM,3413649971, ,27,1608033216,38
/arcbk/,12/31/07 8:01:33 AM,3396874500, ,19,1072109592,37
/arcbk/,12/31/07 8:33:15 AM,3380099184, ,36,2143937096,39
/arcbk/,12/31/07 9:01:34 AM,3363323663, ,19,1072110784,37
/arcbk/,12/31/07 9:32:25 AM,3346548288, ,27,1608026356,38
/arcbk/,12/31/07 10:02:19 AM,3329772866, ,27,1608033608,38
/arcbk/,12/31/07 7:02:23 PM,3145255867, ,28,1608026972,39
/arcbk/,12/31/07 7:48:20 PM,3128481400, ,201,12179643700,60
/arcbk/,12/31/07 8:08:01 PM,3111705306, ,111,5359466548,46
/arcbk/,12/31/07 8:33:06 PM,3094929651, ,37,2143943012,40
/arcbk/,12/31/07 9:39:53 PM,3078156450, ,114,6723126760,50
/arcbk/,12/31/07 10:03:04 PM,3061380645, ,38,2143950684,40
/arcbk/,1/1/08 6:02:24 AM,2876860043, ,27,1608025692,39
/arcbk/,1/1/08 6:31:35 AM,2860084584, ,19,1072110772,38
/arcbk/,1/1/08 7:02:18 AM,2843309214, ,28,1608027880,39
/arcbk/,1/1/08 7:31:36 AM,2826533763, ,19,1072113984,38
